1035.0000	720.0000
1434.0000	948.0000
717.0000	450.0000
642.0000	282.0000
648.0000	1083.0000
495.0000	1323.0000
1260.0000	1422.0000
1185.0000	1659.0000
1800.0000	1857.0000
2235.0000	2115.0000
2430.0000	2343.0000
2628.0000	2436.0000
2571.0000	2286.0000
2364.0000	750.0000
2454.0000	549.0000
2259.0000	279.0000
2502.0000	24.0000
1854.0000	237.0000
2481.0000	810.0000
2256.0000	654.0000
2073.0000	609.0000
717.0000	1287.0000
255.0000	2280.0000
264.0000	2244.0000
306.0000	2139.0000
657.0000	2487.0000
930.0000	2487.0000
33.0000	1797.0000
204.0000	1173.0000
255.0000	333.0000
873.0000	165.0000
1002.0000	297.0000
2100.0000	1980.0000
1815.0000	1131.0000
2022.0000	975.0000
2370.0000	1203.0000
2064.0000	498.0000
1083.0000	816.0000
1230.0000	2055.0000
780.0000	1962.0000
1827.0000	1524.0000
1206.0000	1137.0000
456.0000	150.0000
1860.0000	2607.0000
750.0000	2295.0000
2643.0000	1359.0000
